backend,collective,topology,nodes,shape,dims,size_bytes,link_bw_GBps,link_lat_ns,latency_ns
analytical,all_gather,switch,4,4,1,1073741824,50.0,500.0,60012160
analytical,all_gather,torus2d,4,2x2,2,1024,50.0,500.0,2640
analytical,all_gather,torus2d,4,2x2,2,4096,50.0,500.0,2771
analytical,all_gather,torus2d,4,2x2,2,16384,50.0,500.0,3284
analytical,all_gather,torus2d,4,2x2,2,65536,50.0,500.0,5345
analytical,all_gather,torus2d,4,2x2,2,262144,50.0,500.0,13584
analytical,all_gather,torus2d,4,2x2,2,1048576,50.0,500.0,46542
analytical,all_gather,torus2d,4,2x2,2,4194304,50.0,500.0,178379
analytical,all_gather,torus2d,4,2x2,2,16777216,50.0,500.0,705725
analytical,all_gather,torus2d,4,2x2,2,67108864,50.0,500.0,2815100
analytical,all_gather,torus2d,4,2x2,2,268435456,50.0,500.0,11252600
analytical,all_gather,torus2d,4,2x2,2,1073741824,50.0,500.0,45002600
analytical,all_gather,switch,8,8,1,1024,50.0,500.0,28432
analytical,all_gather,switch,8,8,1,4096,50.0,500.0,28852
analytical,all_gather,switch,8,8,1,16384,50.0,500.0,30448
analytical,all_gather,switch,8,8,1,65536,50.0,500.0,36860
analytical,all_gather,switch,8,8,1,262144,50.0,500.0,62480
analytical,all_gather,switch,8,8,1,1048576,50.0,500.0,165016
analytical,all_gather,switch,8,8,1,4194304,50.0,500.0,575188
analytical,all_gather,switch,8,8,1,16777216,50.0,500.0,2215820
analytical,all_gather,switch,8,8,1,67108864,50.0,500.0,8778320
analytical,all_gather,switch,8,8,1,268435456,50.0,500.0,35028320
analytical,all_gather,switch,8,8,1,1073741824,50.0,500.0,140028320
analytical,all_gather,torus2d,8,2x4,2,1024,50.0,500.0,6747
analytical,all_gather,torus2d,8,2x4,2,4096,50.0,500.0,6984
analytical,all_gather,torus2d,8,2x4,2,16384,50.0,500.0,7897
analytical,all_gather,torus2d,8,2x4,2,65536,50.0,500.0,11560
analytical,all_gather,torus2d,8,2x4,2,262144,50.0,500.0,26808
analytical,all_gather,torus2d,8,2x4,2,1048576,50.0,500.0,96390
analytical,all_gather,torus2d,8,2x4,2,4194304,50.0,500.0,374713
analytical,all_gather,torus2d,8,2x4,2,16777216,50.0,500.0,1487995
analytical,all_gather,torus2d,8,2x4,2,67108864,50.0,500.0,5941120
analytical,all_gather,torus2d,8,2x4,2,268435456,50.0,500.0,23753620
analytical,all_gather,torus2d,8,2x4,2,1073741824,50.0,500.0,95003620
analytical,all_gather,switch,16,16,1,1024,50.0,500.0,60880
analytical,all_gather,switch,16,16,1,4096,50.0,500.0,61780
analytical,all_gather,switch,16,16,1,16384,50.0,500.0,65200
analytical,all_gather,switch,16,16,1,65536,50.0,500.0,78940
analytical,all_gather,switch,16,16,1,262144,50.0,500.0,133840
analytical,all_gather,switch,16,16,1,1048576,50.0,500.0,353560
analytical,all_gather,switch,16,16,1,4194304,50.0,500.0,1232500
analytical,all_gather,switch,16,16,1,16777216,50.0,500.0,4748140
analytical,all_gather,switch,16,16,1,67108864,50.0,500.0,18810640
analytical,all_gather,switch,16,16,1,268435456,50.0,500.0,75060640
analytical,all_gather,switch,16,16,1,1073741824,50.0,500.0,300060640
analytical,all_gather,torus2d,16,4x4,2,1024,50.0,500.0,7940
analytical,all_gather,torus2d,16,4x4,2,4096,50.0,500.0,8669
analytical,all_gather,torus2d,16,4x4,2,16384,50.0,500.0,11588
analytical,all_gather,torus2d,16,4x4,2,65536,50.0,500.0,23255
analytical,all_gather,torus2d,16,4x4,2,262144,50.0,500.0,69944
analytical,all_gather,torus2d,16,4x4,2,1048576,50.0,500.0,256718
analytical,all_gather,torus2d,16,4x4,2,4194304,50.0,500.0,1003793
analytical,all_gather,torus2d,16,4x4,2,16777216,50.0,500.0,3992075
analytical,all_gather,torus2d,16,4x4,2,67108864,50.0,500.0,15945200
analytical,all_gather,torus2d,16,4x4,2,268435456,50.0,500.0,63757700
analytical,all_gather,torus2d,16,4x4,2,1073741824,50.0,500.0,255007700
analytical,all_gather,switch,32,32,1,1024,50.0,500.0,125776
analytical,all_gather,switch,32,32,1,4096,50.0,500.0,127636
analytical,all_gather,switch,32,32,1,16384,50.0,500.0,134704
analytical,all_gather,switch,32,32,1,65536,50.0,500.0,163100
analytical,all_gather,switch,32,32,1,262144,50.0,500.0,276560
analytical,all_gather,switch,32,32,1,1048576,50.0,500.0,730648
analytical,all_gather,switch,32,32,1,4194304,50.0,500.0,2547124
analytical,all_gather,switch,32,32,1,16777216,50.0,500.0,9812780
analytical,all_gather,switch,32,32,1,67108864,50.0,500.0,38875280
analytical,all_gather,switch,32,32,1,268435456,50.0,500.0,155125280
analytical,all_gather,switch,32,32,1,1073741824,50.0,500.0,620125280
analytical,all_gather,torus2d,32,4x8,2,1024,50.0,500.0,16086
analytical,all_gather,torus2d,32,4x8,2,4096,50.0,500.0,16848
analytical,all_gather,torus2d,32,4x8,2,16384,50.0,500.0,19818
analytical,all_gather,torus2d,32,4x8,2,65536,50.0,500.0,41167
analytical,all_gather,torus2d,32,4x8,2,262144,50.0,500.0,135460
analytical,all_gather,torus2d,32,4x8,2,1048576,50.0,500.0,512658
analytical,all_gather,torus2d,32,4x8,2,4194304,50.0,500.0,2021457
analytical,all_gather,torus2d,32,4x8,2,16777216,50.0,500.0,8056615
analytical,all_gather,torus2d,32,4x8,2,67108864,50.0,500.0,32197240
analytical,all_gather,torus2d,32,4x8,2,268435456,50.0,500.0,128759740
analytical,all_gather,torus2d,32,4x8,2,1073741824,50.0,500.0,515009740
analytical,all_gather,switch,64,64,1,1024,50.0,500.0,255568
analytical,all_gather,switch,64,64,1,4096,50.0,500.0,259348
analytical,all_gather,switch,64,64,1,16384,50.0,500.0,273712
analytical,all_gather,switch,64,64,1,65536,50.0,500.0,331420
analytical,all_gather,switch,64,64,1,262144,50.0,500.0,562000
analytical,all_gather,switch,64,64,1,1048576,50.0,500.0,1484824
analytical,all_gather,switch,64,64,1,4194304,50.0,500.0,5176372
analytical,all_gather,switch,64,64,1,16777216,50.0,500.0,19942060
analytical,all_gather,switch,64,64,1,67108864,50.0,500.0,79004560
analytical,all_gather,switch,64,64,1,268435456,50.0,500.0,315254560
analytical,all_gather,switch,64,64,1,1073741824,50.0,500.0,1260254560
analytical,all_gather,torus2d,64,8x8,2,1024,50.0,500.0,18992
analytical,all_gather,torus2d,64,8x8,2,4096,50.0,500.0,22289
analytical,all_gather,torus2d,64,8x8,2,16384,50.0,500.0,35512
analytical,all_gather,torus2d,64,8x8,2,65536,50.0,500.0,88383
analytical,all_gather,torus2d,64,8x8,2,262144,50.0,500.0,299860
analytical,all_gather,torus2d,64,8x8,2,1048576,50.0,500.0,1145810
analytical,all_gather,torus2d,64,8x8,2,4194304,50.0,500.0,4529617
analytical,all_gather,torus2d,64,8x8,2,16777216,50.0,500.0,18064775
analytical,all_gather,torus2d,64,8x8,2,67108864,50.0,500.0,72205400
analytical,all_gather,torus2d,64,8x8,2,268435456,50.0,500.0,288767900
analytical,all_gather,torus2d,64,8x8,2,1073741824,50.0,500.0,1155017900
